SPEC,VOL,MASS,AGE,SPOT,NEST,TEMP,SPC
Wyvern,398,665,446,10,Coastal,38.7,Wyvern
Hydra,13,7,477,8,Volcanic,82.9,Hydra
Hydra,61,32,74,8,Coastal,29,Hydra
Hydra,44,68,207,9,Forest,21.8,Hydra
Dragon,99,120,61,2,Volcanic,70.9,Dragon
Wyvern,48,121,137,12,Coastal,32,Wyvern
Wyvern,77,42,0,14,Mountain,37.6,Wyvern
Hydra,13,13,51,5,Coastal,34.9,Hydra
Dragon,16,19,160,4,Swamp,24.4,Dragon
Wyvern,74,59,74,15,Mountain,27.6,Wyvern
Dragon,14,10,160,2,Mountain,57.2,Dragon
Hydra,66,17,330,1,Mountain,56.4,Hydra
Hydra,3,4,116,5,Swamp,29.5,Hydra
Wyvern,51,116,251,5,Coastal,22,Wyvern
Wyvern,25,50,432,20,Forest,27.4,Wyvern
Hydra,71,48,133,6,Forest,25,Hydra
Wyvern,11,16,330,0,Coastal,19.3,Wyvern
Hydra,23,22,86,7,Swamp,28.7,Hydra
Hydra,41,40,459,3,Coastal,29.9,Hydra
Hydra,29,10,271,8,Swamp,32.9,Hydra
Wyvern,19,7,86,15,Mountain,44.8,Wyvern
Wyvern,7,6,266,8,Mountain,38.1,Wyvern
Hydra,177,63,168,10,Swamp,35.1,Hydra
Hydra,0,0,486,10,Swamp,38.1,Hydra
Wyvern,20,57,149,8,Mountain,49.4,Wyvern
Hydra,63,103,392,9,Mountain,44.9,Hydra
Hydra,0,0,177,5,Mountain,34.3,Hydra
Hydra,60,59,52,2,Coastal,10.5,Hydra
Wyvern,74,67,157,7,Forest,33,Wyvern
Hydra,4,4,68,4,Coastal,28.5,Hydra
Hydra,1,0,97,7,Forest,28.4,Hydra
Wyvern,55,55,486,5,Coastal,30.9,Wyvern
Hydra,2,5,489,10,Volcanic,86.3,Hydra
Wyvern,0,0,198,6,Forest,18.9,Wyvern
Dragon,100,463,475,4,Mountain,24.7,Dragon
Hydra,26,19,80,0,Coastal,26.3,Hydra
Wyvern,19,52,141,17,Mountain,48.9,Wyvern
Wyvern,4,1,175,19,Mountain,34.3,Wyvern
Hydra,32,38,135,7,Volcanic,75.4,Hydra
Wyvern,191,111,222,12,Mountain,33.7,Wyvern
Hydra,55,13,339,0,Swamp,34.2,Hydra
Wyvern,258,529,393,5,Coastal,20.5,Wyvern
Wyvern,75,189,430,10,Forest,22.4,Wyvern
Hydra,8,8,156,1,Forest,33.7,Hydra
Dragon,838,1191,20,1,Volcanic,87.6,Dragon
Dragon,378,731,377,2,Volcanic,88.4,Dragon
Wyvern,12,5,333,7,Coastal,7.9,Wyvern
Wyvern,118,54,198,19,Coastal,34.6,Wyvern
Wyvern,82,310,283,20,Volcanic,87.1,Wyvern
Hydra,1,0,485,7,Swamp,44.4,Hydra
Hydra,0,0,401,2,Mountain,36.5,Hydra
Hydra,12,4,446,5,Mountain,46.1,Hydra
Wyvern,42,62,380,7,Coastal,29.9,Wyvern
Dragon,1058,3224,297,3,Volcanic,82.6,Dragon
Hydra,15,6,368,1,Coastal,12.3,Hydra
Hydra,134,303,468,5,Swamp,18.6,Hydra
Wyvern,52,120,230,10,Volcanic,93.4,Wyvern
Wyvern,35,63,270,1,Coastal,17.2,Wyvern
Wyvern,62,267,431,7,Forest,30.9,Wyvern
Hydra,28,5,365,0,Forest,10.3,Hydra
Hydra,2,1,436,6,Mountain,42.3,Hydra
Wyvern,85,23,402,12,Mountain,15.7,Wyvern
Wyvern,4,2,398,5,Forest,43.1,Wyvern
Wyvern,1,1,102,7,Mountain,41.5,Wyvern
Wyvern,1,1,327,8,Forest,36.9,Wyvern
Hydra,9,4,129,8,Swamp,38.2,Hydra
Hydra,0,0,110,8,Forest,19.9,Hydra
Wyvern,15,40,244,18,Forest,33.5,Wyvern
Wyvern,69,122,148,6,Coastal,26.2,Wyvern
Hydra,26,16,2,5,Volcanic,83.4,Hydra
Hydra,30,46,60,3,Mountain,21.1,Hydra
Wyvern,43,9,445,8,Mountain,43,Wyvern
Dragon,18,76,85,1,Mountain,48.7,Dragon
Hydra,116,239,373,8,Swamp,29.8,Hydra
Hydra,54,31,10,2,Swamp,41.7,Hydra
Hydra,52,14,452,10,Swamp,13.7,Hydra
Hydra,38,5,192,2,Swamp,32.2,Hydra
Hydra,38,30,392,9,Swamp,40.9,Hydra
Wyvern,8,2,46,12,Coastal,21.7,Wyvern
Wyvern,1,1,213,14,Mountain,50.6,Wyvern
Hydra,9,6,135,8,Volcanic,93,Hydra
Hydra,17,7,379,10,Swamp,28,Hydra
Hydra,9,6,415,1,Forest,34.4,Hydra
Hydra,17,7,148,6,Forest,26.7,Hydra
Wyvern,6,2,234,18,Volcanic,81.7,Wyvern
Hydra,15,19,65,9,Forest,21.7,Hydra
Dragon,198,385,38,3,Volcanic,88.9,Dragon
Hydra,101,46,330,1,Swamp,39.6,Hydra
Hydra,7,10,275,8,Coastal,26.2,Hydra
Wyvern,341,136,136,10,Coastal,22,Wyvern
Hydra,9,6,58,2,Mountain,39.6,Hydra
Wyvern,1,1,496,2,Mountain,33.3,Wyvern
Dragon,631,268,469,2,Coastal,13.3,Dragon
Hydra,9,8,101,6,Swamp,26.3,Hydra
Hydra,13,1,410,6,Forest,34.7,Hydra
Hydra,11,8,203,8,Coastal,18.7,Hydra
Hydra,30,29,459,9,Swamp,43.4,Hydra
Wyvern,17,45,345,17,Coastal,23,Wyvern
Hydra,8,7,47,8,Swamp,28.6,Hydra
Dragon,7,7,297,5,Mountain,39,Dragon
Dragon,30,39,359,0,Forest,17.9,Dragon
Hydra,26,17,401,7,Swamp,35.4,Hydra
Wyvern,2,12,139,0,Coastal,19.6,Wyvern
Hydra,115,188,161,9,Forest,36.8,Hydra
Wyvern,0,0,255,11,Mountain,48.9,Wyvern
Hydra,134,237,311,4,Swamp,50.4,Hydra
Dragon,144,99,156,4,Swamp,37.2,Dragon
Wyvern,33,37,257,6,Volcanic,85,Wyvern
Hydra,1,0,364,1,Volcanic,69.7,Hydra
Dragon,509,2401,274,5,Swamp,31.7,Dragon
Hydra,99,36,160,8,Volcanic,78.8,Hydra
Wyvern,52,39,478,4,Forest,30.7,Wyvern
Hydra,0,0,122,2,Volcanic,72,Hydra
Hydra,3,3,74,6,Swamp,27.8,Hydra
Wyvern,204,124,232,15,Volcanic,68.5,Wyvern
Wyvern,0,0,233,2,Mountain,34.2,Wyvern
Hydra,13,4,474,8,Volcanic,91.3,Hydra
Hydra,12,7,386,7,Mountain,41.6,Hydra
Hydra,7,8,399,0,Mountain,43.2,Hydra
Hydra,95,141,299,2,Forest,36.7,Hydra
Dragon,444,1807,13,0,Forest,21.3,Dragon
Hydra,21,18,231,2,Coastal,33.2,Hydra
Hydra,12,4,291,10,Swamp,16.8,Hydra
Hydra,27,6,115,2,Forest,32,Hydra
